2025.11.07 19:07:26 INFO  Started: Metals version 1.6.3 in folders '/Users/sandeepsanakkayala/Downloads/Complete BIG DATA PRJ' for client Visual Studio Code 1.105.1.
2025.11.07 19:07:31 WARN  Using H2 2.4.240 which is newer than the version Flyway has been verified with. The latest verified version of H2 is 2.3.232.
2025.11.07 19:07:40 INFO  Running List(/Users/sandeepsanakkayala/Library/Application Support/Coursier/bin/scala-cli, setup-ide, /Users/sandeepsanakkayala/Downloads/Complete BIG DATA PRJ)
2025.11.07 19:07:41 INFO  Attempting to connect to the build server...
2025.11.07 19:07:41 INFO  Running BSP server List(/Users/sandeepsanakkayala/Library/Application Support/Coursier/bin/.scala-cli.aux, bsp, --json-options, /Users/sandeepsanakkayala/Downloads/Complete BIG DATA PRJ/.scala-build/ide-options-v2.json, --json-launcher-options, /Users/sandeepsanakkayala/Downloads/Complete BIG DATA PRJ/.scala-build/ide-launcher-options.json, --envs-file, /Users/sandeepsanakkayala/Downloads/Complete BIG DATA PRJ/.scala-build/ide-envs.json, /Users/sandeepsanakkayala/Downloads/Complete BIG DATA PRJ)
2025.11.07 19:07:40 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /Users/sandeepsanakkayala/Downloads/Complete BIG DATA PRJ/.metals/bsp.trace.json or /Users/sandeepsanakkayala/Library/Caches/org.scalameta.metals/bsp.trace.json
2025.11.07 19:07:42 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.10/bloop-frontend_2.12-2.0.10.pom
2025.11.07 19:07:46 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.10/bloop-frontend_2.12-2.0.10.pom
2025.11.07 19:07:46 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.10/bloop-frontend_2.12-2.0.10.pom.sha1
2025.11.07 19:07:46 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.10/bloop-frontend_2.12-2.0.10.pom.sha1
2025.11.07 19:07:46 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.10/bloop-frontend_2.12-2.0.10.pom
2025.11.07 19:07:49 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.10/bloop-frontend_2.12-2.0.10.pom
